month,region,category,channel,orders,units,gross_cents,discount_cents,cogs_cents,plan_cents
2024-01-01,East,Essentials,Direct,41,205,779000,27265,412870,766770
2024-01-01,East,Essentials,Online,55,275,1045000,73150,553850,991287
2024-01-01,East,Furniture,Direct,42,84,1638000,147420,1113840,1520392
2024-01-01,East,Furniture,Online,59,118,2301000,287625,1564680,2053643
2024-01-01,East,Technology,Direct,50,150,2130000,74550,1299300,2096559
2024-01-01,East,Technology,Online,64,192,2726400,190848,1663104,2586263
2024-01-01,North,Essentials,Direct,49,245,931000,32585,493430,916383
2024-01-01,North,Essentials,Online,65,325,1235000,86450,654550,1171521
2024-01-01,North,Furniture,Direct,55,110,2145000,193050,1458600,1990989
2024-01-01,North,Furniture,Online,65,130,2535000,316875,1723800,2262488
2024-01-01,North,Technology,Direct,62,186,2641200,92442,1611132,2599733
2024-01-01,North,Technology,Online,74,222,3152400,220668,1922964,2990367
2024-01-01,South,Essentials,Direct,56,280,1064000,37240,563920,1047295
2024-01-01,South,Essentials,Online,68,340,1292000,90440,684760,1225591
2024-01-01,South,Furniture,Direct,55,110,2145000,193050,1458600,1990989
2024-01-01,South,Furniture,Online,78,156,3042000,380250,2068560,2714985
2024-01-01,South,Technology,Direct,68,204,2896800,101388,1767048,2851320
2024-01-01,South,Technology,Online,77,231,3280200,229614,2000922,3111598
2024-01-01,West,Essentials,Direct,60,300,1140000,39900,604200,1122102
2024-01-01,West,Essentials,Online,74,370,1406000,98420,745180,1333732
2024-01-01,West,Furniture,Direct,61,122,2379000,214110,1617720,2208188
2024-01-01,West,Furniture,Online,84,168,3276000,409500,2227680,2923830
2024-01-01,West,Technology,Direct,76,228,3237600,113316,1974936,3186770
2024-01-01,West,Technology,Online,92,276,3919200,274344,2390712,3717753
2024-02-01,East,Essentials,Direct,38,190,722000,25270,382660,710665
2024-02-01,East,Essentials,Online,59,295,1121000,78470,594130,1063381
2024-02-01,East,Furniture,Direct,50,100,1950000,175500,1326000,1809990
